symbol,display_symbol,label,thai_name,asset_type,exchange,market,sector,industry,country,currency,aliases,index_memberships,yfinance_symbol,enabled,searchable,coverage_status,security_type,set_symbol,source
ABM.BK,ABM,ASIA BIOMASS PUBLIC COMPANY LIMITED,บริษัท เอเชีย ไบโอแมส จำกัด (มหาชน),stock,mai,Thailand,Unclassified,Resources,Thailand,THB,ABM|ASIA BIOMASS PUBLIC COMPANY LIMITED|ASIA BIOMASS|บริษัท เอเชีย ไบโอแมส จำกัด (มหาชน)|เอเชียไบโอแมส|บริษัท|เอเชีย|ไบโอแมส|จำกัด|มหาชน,,ABM.BK,true,true,verified_set_public_listing_partial,S,ABM,set_public_stock_list_api
ACAP-F.BK,ACAP-F,ASIA CAPITAL GROUP PUBLIC COMPANY LIMITED,บริษัท เอเชีย แคปปิตอล กรุ๊ป จำกัด (มหาชน),foreign_stock,mai,Thailand,Unclassified,Financials,Thailand,THB,ACAP-F|ACAP|ASIA CAPITAL GROUP PUBLIC COMPANY LIMITED|ASIA CAPITAL GROUP|บริษัท เอเชีย แคปปิตอล กรุ๊ป จำกัด (มหาชน)|เอเชียแคปปิตอลกรุ๊ป|บริษัท|เอเชีย|แคปปิตอล|กรุ๊ป|จำกัด|มหาชน,,ACAP-F.BK,true,true,verified_set_public_listing_partial,F,ACAP-F,set_public_stock_list_api
ACAP.BK,ACAP,ASIA CAPITAL GROUP PUBLIC COMPANY LIMITED,บริษัท เอเชีย แคปปิตอล กรุ๊ป จำกัด (มหาชน),stock,mai,Thailand,Unclassified,Financials,Thailand,THB,ACAP|ASIA CAPITAL GROUP PUBLIC COMPANY LIMITED|ASIA CAPITAL GROUP|บริษัท เอเชีย แคปปิตอล กรุ๊ป จำกัด (มหาชน)|เอเชียแคปปิตอลกรุ๊ป|บริษัท|เอเชีย|แคปปิตอล|กรุ๊ป|จำกัด|มหาชน,,ACAP.BK,true,true,verified_set_public_listing_partial,S,ACAP,set_public_stock_list_api
ACC-F.BK,ACC-F,ADVANCED CONNECTION CORPORATION PUBLIC COMPANY LIMITED,บริษัท แอดวานซ์ คอนเนคชั่น คอร์ปอเรชั่น จำกัด (มหาชน),foreign_stock,SET,Thailand,Energy & Utilities,Resources,Thailand,THB,ACC-F|ACC|ADVANCED CONNECTION CORPORATION PUBLIC COMPANY LIMITED|ADVANCED CONNECTION CORPORATION|บริษัท แอดวานซ์ คอนเนคชั่น คอร์ปอเรชั่น จำกัด (มหาชน)|แอดวานซ์คอนเนคชั่นคอร์ปอเรชั่น|บริษัท|แอดวานซ์|คอนเนคชั่น|คอร์ปอเรชั่น|จำกัด|มหาชน|CEI-F,,ACC-F.BK,true,true,verified_set_public_listing_partial,F,ACC-F,set_public_stock_list_api
ACC.BK,ACC,ADVANCED CONNECTION CORPORATION PUBLIC COMPANY LIMITED,บริษัท แอดวานซ์ คอนเนคชั่น คอร์ปอเรชั่น จำกัด (มหาชน),stock,SET,Thailand,Energy & Utilities,Resources,Thailand,THB,ACC|ADVANCED CONNECTION CORPORATION PUBLIC COMPANY LIMITED|ADVANCED CONNECTION CORPORATION|บริษัท แอดวานซ์ คอนเนคชั่น คอร์ปอเรชั่น จำกัด (มหาชน)|แอดวานซ์คอนเนคชั่นคอร์ปอเรชั่น|บริษัท|แอดวานซ์|คอนเนคชั่น|คอร์ปอเรชั่น|จำกัด|มหาชน|CEI,,ACC.BK,true,true,verified_set_public_listing_partial,S,ACC,set_public_stock_list_api
ACE-F.BK,ACE-F,ABSOLUTE CLEAN ENERGY PUBLIC COMPANY LIMITED,บริษัท แอ๊บโซลูท คลีน เอ็นเนอร์จี้ จำกัด (มหาชน),foreign_stock,SET,Thailand,Energy & Utilities,Resources,Thailand,THB,ACE-F|ACE|ABSOLUTE CLEAN ENERGY PUBLIC COMPANY LIMITED|ABSOLUTE CLEAN ENERGY|บริษัท แอ๊บโซลูท คลีน เอ็นเนอร์จี้ จำกัด (มหาชน)|แอ๊บโซลูทคลีนเอ็นเนอร์จี้|บริษัท|แอ๊บโซลูท|คลีน|เอ็นเนอร์จี้|จำกัด|มหาชน,,ACE-F.BK,true,true,verified_set_public_listing_partial,F,ACE-F,set_public_stock_list_api
ACE.BK,ACE,ABSOLUTE CLEAN ENERGY PUBLIC COMPANY LIMITED,บริษัท แอ๊บโซลูท คลีน เอ็นเนอร์จี้ จำกัด (มหาชน),stock,SET,Thailand,Energy & Utilities,Resources,Thailand,THB,ACE|ABSOLUTE CLEAN ENERGY PUBLIC COMPANY LIMITED|ABSOLUTE CLEAN ENERGY|บริษัท แอ๊บโซลูท คลีน เอ็นเนอร์จี้ จำกัด (มหาชน)|แอ๊บโซลูทคลีนเอ็นเนอร์จี้|บริษัท|แอ๊บโซลูท|คลีน|เอ็นเนอร์จี้|จำกัด|มหาชน,,ACE.BK,true,true,verified_set_public_listing_partial,S,ACE,set_public_stock_list_api
ACG-F.BK,ACG-F,AUTOCORP HOLDING PUBLIC COMPANY LIMITED,บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน),foreign_stock,SET,Thailand,Automotive,Industrials,Thailand,THB,ACG-F|ACG|AUTOCORP HOLDING PUBLIC COMPANY LIMITED|AUTOCORP HOLDING|บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน)|ออโตคอร์ปโฮลดิ้ง|บริษัท|ออโตคอร์ป|โฮลดิ้ง|จำกัด|มหาชน,,ACG-F.BK,true,true,verified_set_public_listing_partial,F,ACG-F,set_public_stock_list_api
ACG.BK,ACG,AUTOCORP HOLDING PUBLIC COMPANY LIMITED,บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน),stock,SET,Thailand,Automotive,Industrials,Thailand,THB,ACG|AUTOCORP HOLDING PUBLIC COMPANY LIMITED|AUTOCORP HOLDING|บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน)|ออโตคอร์ปโฮลดิ้ง|บริษัท|ออโตคอร์ป|โฮลดิ้ง|จำกัด|มหาชน,,ACG.BK,true,true,verified_set_public_listing_partial,S,ACG,set_public_stock_list_api
ADB-F.BK,ADB-F,APPLIED DB PUBLIC COMPANY LIMITED,บริษัท แอ็พพลาย ดีบี จำกัด (มหาชน),foreign_stock,mai,Thailand,Unclassified,Industrials,Thailand,THB,ADB-F|ADB|APPLIED DB PUBLIC COMPANY LIMITED|APPLIED DB|บริษัท แอ็พพลาย ดีบี จำกัด (มหาชน)|แอ็พพลายดีบี|บริษัท|แอ็พพลาย|ดีบี|จำกัด|มหาชน,,ADB-F.BK,true,true,verified_set_public_listing_partial,F,ADB-F,set_public_stock_list_api
